expno,polymer,solvent,mn,mw,cryst,tg,dens,pressure,temperature,wa,doi,notes
22,1,11,18000,80000,0,593,1.238,0.011093247588424,308.15,0.086294416243655,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
23,1,11,18000,80000,0,593,1.238,0.01379421221865,308.15,0.093198992443325,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
24,1,11,18000,80000,0,593,1.238,0.017942122186495,308.15,0.101123595505618,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
25,1,11,18000,80000,0,593,1.238,0.022282958199357,308.15,0.116564417177914,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
26,1,11,18000,80000,0,593,1.238,0.033858520900322,308.15,0.146919431279621,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
27,1,11,18000,80000,0,593,1.238,0.03935691318328,308.15,0.155920281359906,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
28,1,11,18000,80000,0,593,1.238,0.047749196141479,308.15,0.192825112107623,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
29,1,1,18000,80000,0,611,1.225,0.096330275229358,296.15,0.024814367030104,10.1016/S0376-7388(02)00385-X,"Matrimid; INCOMPLETE CHARACTERIZATION WARNING; no Mn, no Mw; assigned typical values of Matrimide 5218 by Huntsman Advanced Materials"
30,1,1,18000,80000,0,611,1.225,0.444954128440367,296.15,0.048406278931247,10.1016/S0376-7388(02)00385-X,"Matrimid; INCOMPLETE CHARACTERIZATION WARNING; no Mn, no Mw; assigned typical values of Matrimide 5218 by Huntsman Advanced Materials"
31,1,1,18000,80000,0,611,1.225,0.779816513761468,296.15,0.061170717765915,10.1016/S0376-7388(02)00385-X,"Matrimid; INCOMPLETE CHARACTERIZATION WARNING; no Mn, no Mw; assigned typical values of Matrimide 5218 by Huntsman Advanced Materials"
32,1,1,18000,80000,0,611,1.225,1.13302752293578,296.15,0.070268040405732,10.1016/S0376-7388(02)00385-X,"Matrimid; INCOMPLETE CHARACTERIZATION WARNING; no Mn, no Mw; assigned typical values of Matrimide 5218 by Huntsman Advanced Materials"
33,1,1,18000,80000,0,611,1.225,1.47706422018349,296.15,0.077453864998954,10.1016/S0376-7388(02)00385-X,"Matrimid; INCOMPLETE CHARACTERIZATION WARNING; no Mn, no Mw; assigned typical values of Matrimide 5218 by Huntsman Advanced Materials"
34,1,1,18000,80000,0,611,1.225,1.82110091743119,296.15,0.084529464178684,10.1016/S0376-7388(02)00385-X,"Matrimid; INCOMPLETE CHARACTERIZATION WARNING; no Mn, no Mw; assigned typical values of Matrimide 5218 by Huntsman Advanced Materials"
35,1,1,18000,80000,0,611,1.225,2.1697247706422,296.15,0.092059419751002,10.1016/S0376-7388(02)00385-X,"Matrimid; INCOMPLETE CHARACTERIZATION WARNING; no Mn, no Mw; assigned typical values of Matrimide 5218 by Huntsman Advanced Materials"
36,1,1,18000,80000,0,611,1.225,2.50917431192661,296.15,0.097805349434887,10.1016/S0376-7388(02)00385-X,"Matrimid; INCOMPLETE CHARACTERIZATION WARNING; no Mn, no Mw; assigned typical values of Matrimide 5218 by Huntsman Advanced Materials"
37,1,1,18000,80000,0,593,1.238,0.13302752293578,308.15,0.016308441041679,10.1002/app.25653,"Matrimid; NO CHARACTERIZATION WARNING; no Mn, no Mw, no p, no Tg; assigned typical values of Matrimide 5218 by Huntsman Advanced Materials"
38,1,1,18000,80000,0,593,1.238,0.408256880733945,308.15,0.03165534037234,10.1002/app.25653,"Matrimid; NO CHARACTERIZATION WARNING; no Mn, no Mw, no p, no Tg; assigned typical values of Matrimide 5218 by Huntsman Advanced Materials"
39,1,1,18000,80000,0,593,1.238,0.678899082568807,308.15,0.041755178438133,10.1002/app.25653,"Matrimid; NO CHARACTERIZATION WARNING; no Mn, no Mw, no p, no Tg; assigned typical values of Matrimide 5218 by Huntsman Advanced Materials"
40,1,1,18000,80000,0,593,1.238,1.15596330275229,308.15,0.054685907763678,10.1002/app.25653,"Matrimid; NO CHARACTERIZATION WARNING; no Mn, no Mw, no p, no Tg; assigned typical values of Matrimide 5218 by Huntsman Advanced Materials"
41,1,1,18000,80000,0,593,1.238,1.61467889908257,308.15,0.066878143157547,10.1002/app.25653,"Matrimid; NO CHARACTERIZATION WARNING; no Mn, no Mw, no p, no Tg; assigned typical values of Matrimide 5218 by Huntsman Advanced Materials"
42,1,1,18000,80000,0,593,1.238,2.03211009174312,308.15,0.074500044769806,10.1002/app.25653,"Matrimid; NO CHARACTERIZATION WARNING; no Mn, no Mw, no p, no Tg; assigned typical values of Matrimide 5218 by Huntsman Advanced Materials"
43,1,2,18000,80000,0,611,1.225,0.096330275229358,296.15,0.001557324925753,10.1016/S0376-7388(02)00385-X,"Matrimid; INCOMPLETE CHARACTERIZATION WARNING; no Mn, no Mw; assigned typical values of Matrimide 5218 by Huntsman Advanced Materials"
44,1,2,18000,80000,0,611,1.225,0.26605504587156,296.15,0.003278989803392,10.1016/S0376-7388(02)00385-X,"Matrimid; INCOMPLETE CHARACTERIZATION WARNING; no Mn, no Mw; assigned typical values of Matrimide 5218 by Huntsman Advanced Materials"
45,1,2,18000,80000,0,611,1.225,0.440366972477064,296.15,0.004621624397868,10.1016/S0376-7388(02)00385-X,"Matrimid; INCOMPLETE CHARACTERIZATION WARNING; no Mn, no Mw; assigned typical values of Matrimide 5218 by Huntsman Advanced Materials"
46,1,2,18000,80000,0,611,1.225,0.614678899082569,296.15,0.005588336181206,10.1016/S0376-7388(02)00385-X,"Matrimid; INCOMPLETE CHARACTERIZATION WARNING; no Mn, no Mw; assigned typical values of Matrimide 5218 by Huntsman Advanced Materials"
47,1,2,18000,80000,0,611,1.225,0.788990825688073,296.15,0.006515997900602,10.1016/S0376-7388(02)00385-X,"Matrimid; INCOMPLETE CHARACTERIZATION WARNING; no Mn, no Mw; assigned typical values of Matrimide 5218 by Huntsman Advanced Materials"
48,1,2,18000,80000,0,611,1.225,0.963302752293578,296.15,0.007293483161885,10.1016/S0376-7388(02)00385-X,"Matrimid; INCOMPLETE CHARACTERIZATION WARNING; no Mn, no Mw; assigned typical values of Matrimide 5218 by Huntsman Advanced Materials"
49,1,2,18000,80000,0,611,1.225,1.13302752293578,296.15,0.00792156096058,10.1016/S0376-7388(02)00385-X,"Matrimid; INCOMPLETE CHARACTERIZATION WARNING; no Mn, no Mw; assigned typical values of Matrimide 5218 by Huntsman Advanced Materials"
50,1,2,18000,80000,0,611,1.225,1.30275229357798,296.15,0.008437761391363,10.1016/S0376-7388(02)00385-X,"Matrimid; INCOMPLETE CHARACTERIZATION WARNING; no Mn, no Mw; assigned typical values of Matrimide 5218 by Huntsman Advanced Materials"
51,1,2,18000,80000,0,611,1.225,1.47706422018349,296.15,0.009064324666953,10.1016/S0376-7388(02)00385-X,"Matrimid; INCOMPLETE CHARACTERIZATION WARNING; no Mn, no Mw; assigned typical values of Matrimide 5218 by Huntsman Advanced Materials"
52,1,2,18000,80000,0,611,1.225,1.64678899082569,296.15,0.009579336880691,10.1016/S0376-7388(02)00385-X,"Matrimid; INCOMPLETE CHARACTERIZATION WARNING; no Mn, no Mw; assigned typical values of Matrimide 5218 by Huntsman Advanced Materials"
53,1,2,18000,80000,0,611,1.225,1.81651376146789,296.15,0.009946158990854,10.1016/S0376-7388(02)00385-X,"Matrimid; INCOMPLETE CHARACTERIZATION WARNING; no Mn, no Mw; assigned typical values of Matrimide 5218 by Huntsman Advanced Materials"
54,1,2,18000,80000,0,611,1.225,1.9954128440367,296.15,0.010423237565051,10.1016/S0376-7388(02)00385-X,"Matrimid; INCOMPLETE CHARACTERIZATION WARNING; no Mn, no Mw; assigned typical values of Matrimide 5218 by Huntsman Advanced Materials"
55,1,2,18000,80000,0,611,1.225,2.1697247706422,296.15,0.010752509536755,10.1016/S0376-7388(02)00385-X,"Matrimid; INCOMPLETE CHARACTERIZATION WARNING; no Mn, no Mw; assigned typical values of Matrimide 5218 by Huntsman Advanced Materials"
56,1,2,18000,80000,0,611,1.225,2.3394495412844,296.15,0.011265768922156,10.1016/S0376-7388(02)00385-X,"Matrimid; INCOMPLETE CHARACTERIZATION WARNING; no Mn, no Mw; assigned typical values of Matrimide 5218 by Huntsman Advanced Materials"
57,1,2,18000,80000,0,611,1.225,2.51376146788991,296.15,0.011447272858196,10.1016/S0376-7388(02)00385-X,"Matrimid; INCOMPLETE CHARACTERIZATION WARNING; no Mn, no Mw; assigned typical values of Matrimide 5218 by Huntsman Advanced Materials"
58,1,2,18000,80000,0,593,1.238,0.389908256880734,308.15,0.002565680452815,10.1002/app.25653,"Matrimid; NO CHARACTERIZATION WARNING; no Mn, no Mw, no p, no Tg; assigned typical values of Matrimide 5218 by Huntsman Advanced Materials"
59,1,2,18000,80000,0,593,1.238,0.958715596330275,308.15,0.004688517409955,10.1002/app.25653,"Matrimid; NO CHARACTERIZATION WARNING; no Mn, no Mw, no p, no Tg; assigned typical values of Matrimide 5218 by Huntsman Advanced Materials"
60,1,2,18000,80000,0,593,1.238,1.57339449541284,308.15,0.006392791766734,10.1002/app.25653,"Matrimid; NO CHARACTERIZATION WARNING; no Mn, no Mw, no p, no Tg; assigned typical values of Matrimide 5218 by Huntsman Advanced Materials"
61,1,2,18000,80000,0,593,1.238,2.10091743119266,308.15,0.006756659706121,10.1002/app.25653,"Matrimid; NO CHARACTERIZATION WARNING; no Mn, no Mw, no p, no Tg; assigned typical values of Matrimide 5218 by Huntsman Advanced Materials"
62,1,2,18000,80000,0,593,1.238,2.22477064220183,308.15,0.007460313031642,10.1002/app.25653,"Matrimid; NO CHARACTERIZATION WARNING; no Mn, no Mw, no p, no Tg; assigned typical values of Matrimide 5218 by Huntsman Advanced Materials"
63,1,2,18000,80000,0,593,1.238,2.8302752293578,308.15,0.008155831487288,10.1002/app.25653,"Matrimid; NO CHARACTERIZATION WARNING; no Mn, no Mw, no p, no Tg; assigned typical values of Matrimide 5218 by Huntsman Advanced Materials"
64,1,22,18000,80000,0,593,1.238,0.000399977268162,298.15,0.002207505518764,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
65,1,22,18000,80000,0,593,1.238,0.000481143147144,298.15,0.002845860266055,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
66,1,22,18000,80000,0,593,1.238,0.000681711971749,298.15,0.004076236642062,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
67,1,22,18000,80000,0,593,1.238,0.000903802032121,298.15,0.005172224056344,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
68,1,22,18000,80000,0,593,1.238,0.001068525919582,298.15,0.006418710982151,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
69,1,22,18000,80000,0,593,1.238,0.001419555724723,298.15,0.008271715997104,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
70,1,22,18000,80000,0,593,1.238,0.001476842600522,298.15,0.008771929824561,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
71,1,22,18000,80000,0,593,1.238,0.001787145409755,298.15,0.011481683980317,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
72,1,22,18000,80000,0,593,1.238,0.002133396242374,298.15,0.013315869897402,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
73,1,22,18000,80000,0,593,1.238,0.002185779913513,298.15,0.014821272885789,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
74,1,22,18000,80000,0,593,1.238,0.002629862234487,298.15,0.017754308190451,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
75,1,22,18000,80000,0,593,1.238,0.002658372188917,298.15,0.019075934807613,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
76,1,22,18000,80000,0,593,1.238,0.003023498377052,298.15,0.022808345043779,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
77,1,22,18000,80000,0,593,1.238,0.000498004356055,308.15,0.001722690931578,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
78,1,22,18000,80000,0,593,1.238,0.00081089753756,308.15,0.002801862024842,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
79,1,22,18000,80000,0,593,1.238,0.000861074105793,308.15,0.00282386163078,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
80,1,22,18000,80000,0,593,1.238,0.001090372273501,308.15,0.003593236778873,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
81,1,22,18000,80000,0,593,1.238,0.001479715799156,308.15,0.004777946583878,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
82,1,22,18000,80000,0,593,1.238,0.001737693088464,308.15,0.005500550055005,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
83,1,22,18000,80000,0,593,1.238,0.001969354310062,308.15,0.006484229036158,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
84,1,22,18000,80000,0,593,1.238,0.002392116281283,308.15,0.007945217505816,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
85,1,22,18000,80000,0,593,1.238,0.002549774796206,308.15,0.008336989907854,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
86,1,22,18000,80000,0,593,1.238,0.002728893752445,308.15,0.009097884467829,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
87,1,22,18000,80000,0,593,1.238,0.003240008564088,308.15,0.011027481183266,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
88,1,22,18000,80000,0,593,1.238,0.003280621900805,308.15,0.011092392850111,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
89,1,22,18000,80000,0,593,1.238,0.000698760850488,318.15,0.00139186532046,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
90,1,22,18000,80000,0,593,1.238,0.000796692781848,318.15,0.001700642710427,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
91,1,22,18000,80000,0,593,1.238,0.001647178080164,318.15,0.003131754223457,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
92,1,22,18000,80000,0,593,1.238,0.001690175616667,318.15,0.003241669790725,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
93,1,22,18000,80000,0,593,1.238,0.00273174844842,318.15,0.005259798851207,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
94,1,22,18000,80000,0,593,1.238,0.002789082902486,318.15,0.005369245664994,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
95,1,22,18000,80000,0,593,1.238,0.003269258624882,318.15,0.006287648946929,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
96,1,22,18000,80000,0,593,1.238,0.0035105332995,318.15,0.006811689738519,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
97,1,45,18000,80000,0,593,1.238,0.005587165510406,308.15,0.077321277880436,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
98,1,45,18000,80000,0,593,1.238,0.00953414271556,308.15,0.101506021615253,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
99,1,45,18000,80000,0,593,1.238,0.015770366699703,308.15,0.13524467510853,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
100,1,45,18000,80000,0,593,1.238,0.020506739345887,308.15,0.155333276836154,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
101,1,45,18000,80000,0,593,1.238,0.024322150644202,308.15,0.172476043021697,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
102,1,45,18000,80000,0,593,1.238,0.029663726461843,308.15,0.193917655349594,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
103,1,45,18000,80000,0,593,1.238,0.035215807730426,308.15,0.216523201716584,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
104,1,45,18000,80000,0,593,1.238,0.038399702675917,308.15,0.240985929078462,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
105,1,43,18000,80000,0,593,1.238,0.010116890676822,308.15,0.095924541733405,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
106,1,43,18000,80000,0,593,1.238,0.023342666825344,308.15,0.152697856725878,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
107,1,43,18000,80000,0,593,1.238,0.030865688675932,308.15,0.175592340149302,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
108,1,43,18000,80000,0,593,1.238,0.034198147194931,308.15,0.198990854619994,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
109,1,24,18000,80000,0,593,1.238,0.002346332441942,308.15,0.020864111126519,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
110,1,24,18000,80000,0,593,1.238,0.005050226429427,308.15,0.030418362342094,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
111,1,24,18000,80000,0,593,1.238,0.012177446855374,308.15,0.052553061929931,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
112,1,24,18000,80000,0,593,1.238,0.016132972442168,308.15,0.066838997209943,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
113,1,24,18000,80000,0,593,1.238,0.022524208986581,308.15,0.09612181412173,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
114,1,10,18000,80000,0,593,1.238,0.26605504587156,308.15,0.000878458441376,10.1002/app.25653,"Matrimid; NO CHARACTERIZATION WARNING; no Mn, no Mw, no p, no Tg; assigned typical values of Matrimide 5218 by Huntsman Advanced Materials"
115,1,10,18000,80000,0,593,1.238,0.793577981651376,308.15,0.002447200615626,10.1002/app.25653,"Matrimid; NO CHARACTERIZATION WARNING; no Mn, no Mw, no p, no Tg; assigned typical values of Matrimide 5218 by Huntsman Advanced Materials"
116,1,10,18000,80000,0,593,1.238,1.20642201834862,308.15,0.003377159954307,10.1002/app.25653,"Matrimid; NO CHARACTERIZATION WARNING; no Mn, no Mw, no p, no Tg; assigned typical values of Matrimide 5218 by Huntsman Advanced Materials"
117,1,10,18000,80000,0,593,1.238,1.71100917431193,308.15,0.004117275372646,10.1002/app.25653,"Matrimid; NO CHARACTERIZATION WARNING; no Mn, no Mw, no p, no Tg; assigned typical values of Matrimide 5218 by Huntsman Advanced Materials"
118,1,10,18000,80000,0,593,1.238,2.23853211009174,308.15,0.005042414581682,10.1002/app.25653,"Matrimid; NO CHARACTERIZATION WARNING; no Mn, no Mw, no p, no Tg; assigned typical values of Matrimide 5218 by Huntsman Advanced Materials"
119,1,10,18000,80000,0,593,1.238,2.6743119266055,308.15,0.005781084362874,10.1002/app.25653,"Matrimid; NO CHARACTERIZATION WARNING; no Mn, no Mw, no p, no Tg; assigned typical values of Matrimide 5218 by Huntsman Advanced Materials"
120,16,1,20400,50900,0,490,1.242,0.287507049586777,308.15,0.016725889384412,10.1002/app.25653,"Ultem; NO CHARACTERIZATION WARNING; no Mn, no Mw, no p, no Tg; assigned typical values of Ultem 1000 by SABIC Co. (Riyadh, Saudi Arabia); Assumed typical for Ultem PDI=2.5"
121,16,1,20400,50900,0,490,1.242,0.778781231404958,308.15,0.033652677515567,10.1002/app.25653,"Ultem; NO CHARACTERIZATION WARNING; no Mn, no Mw, no p, no Tg; assigned typical values of Ultem 1000 by SABIC Co. (Riyadh, Saudi Arabia); Assumed typical for Ultem PDI=2.5"
122,16,1,20400,50900,0,490,1.242,1.5547711322314,308.15,0.044088035271515,10.1002/app.25653,"Ultem; NO CHARACTERIZATION WARNING; no Mn, no Mw, no p, no Tg; assigned typical values of Ultem 1000 by SABIC Co. (Riyadh, Saudi Arabia); Assumed typical for Ultem PDI=2.5"
123,16,1,20400,50900,0,490,1.242,3.98322873553719,308.15,0.082426912894023,10.1002/app.25653,"Ultem; NO CHARACTERIZATION WARNING; no Mn, no Mw, no p, no Tg; assigned typical values of Ultem 1000 by SABIC Co. (Riyadh, Saudi Arabia); Assumed typical for Ultem PDI=2.5"
124,16,2,20400,50900,0,490,1.242,1.24772476859504,308.15,0.003700113294737,10.1002/app.25653,"Ultem; NO CHARACTERIZATION WARNING; no Mn, no Mw, no p, no Tg; assigned typical values of Ultem 1000 by SABIC Co. (Riyadh, Saudi Arabia); Assumed typical for Ultem PDI=2.5"
125,16,2,20400,50900,0,490,1.242,1.80599088429752,308.15,0.004263324277447,10.1002/app.25653,"Ultem; NO CHARACTERIZATION WARNING; no Mn, no Mw, no p, no Tg; assigned typical values of Ultem 1000 by SABIC Co. (Riyadh, Saudi Arabia); Assumed typical for Ultem PDI=2.5"
126,16,2,20400,50900,0,490,1.242,4.02230736363636,308.15,0.006789913673873,10.1002/app.25653,"Ultem; NO CHARACTERIZATION WARNING; no Mn, no Mw, no p, no Tg; assigned typical values of Ultem 1000 by SABIC Co. (Riyadh, Saudi Arabia); Assumed typical for Ultem PDI=2.5"
127,16,10,20400,50900,0,490,1.242,3.22398681818182,308.15,0.004364618320256,10.1002/app.25653,"Ultem; NO CHARACTERIZATION WARNING; no Mn, no Mw, no p, no Tg; assigned typical values of Ultem 1000 by SABIC Co. (Riyadh, Saudi Arabia); Assumed typical for Ultem PDI=2.5"
128,16,10,20400,50900,0,490,1.242,3.70967833884297,308.15,0.004691450315009,10.1002/app.25653,"Ultem; NO CHARACTERIZATION WARNING; no Mn, no Mw, no p, no Tg; assigned typical values of Ultem 1000 by SABIC Co. (Riyadh, Saudi Arabia); Assumed typical for Ultem PDI=2.5"
129,16,10,20400,50900,0,490,1.242,4.33493638842975,308.15,0.005181296177317,10.1002/app.25653,"Ultem; NO CHARACTERIZATION WARNING; no Mn, no Mw, no p, no Tg; assigned typical values of Ultem 1000 by SABIC Co. (Riyadh, Saudi Arabia); Assumed typical for Ultem PDI=2.5"
130,16,10,20400,50900,0,490,1.242,4.93786379338843,308.15,0.005507592306732,10.1002/app.25653,"Ultem; NO CHARACTERIZATION WARNING; no Mn, no Mw, no p, no Tg; assigned typical values of Ultem 1000 by SABIC Co. (Riyadh, Saudi Arabia); Assumed typical for Ultem PDI=2.5"
131,16,10,20400,50900,0,490,1.242,5.63569643801653,308.15,0.005996635359393,10.1002/app.25653,"Ultem; NO CHARACTERIZATION WARNING; no Mn, no Mw, no p, no Tg; assigned typical values of Ultem 1000 by SABIC Co. (Riyadh, Saudi Arabia); Assumed typical for Ultem PDI=2.5"
132,3,1,8200,111000,0,153,0.86,3.4,453.15,0.019607843137255,10.1021/ma060735,"HDPE by Japan Polyolefins (formerly Nippon Petrochemicals), 0 crystallinity for the temperature is above the melting point"
133,3,1,8200,111000,0,153,0.86,7,453.15,0.040307101727447,10.1021/ma060735,"HDPE by Japan Polyolefins (formerly Nippon Petrochemicals), 0 crystallinity for the temperature is above the melting point"
134,3,1,8200,111000,0,153,0.86,10.5,453.15,0.06015037593985,10.1021/ma060735,"HDPE by Japan Polyolefins (formerly Nippon Petrochemicals), 0 crystallinity for the temperature is above the melting point"
135,3,1,8200,111000,0,153,0.86,14,453.15,0.080882352941177,10.1021/ma060735,"HDPE by Japan Polyolefins (formerly Nippon Petrochemicals), 0 crystallinity for the temperature is above the melting point"
136,3,1,8200,111000,0,153,0.86,17.4,453.15,0.101527403414196,10.1021/ma060735,"HDPE by Japan Polyolefins (formerly Nippon Petrochemicals), 0 crystallinity for the temperature is above the melting point"
137,3,1,8200,111000,0,153,0.86,20.9,453.15,0.123575810692375,10.1021/ma060735,"HDPE by Japan Polyolefins (formerly Nippon Petrochemicals), 0 crystallinity for the temperature is above the melting point"
138,3,1,8200,111000,0,153,0.86,24.4,453.15,0.146757679180887,10.1021/ma060735,"HDPE by Japan Polyolefins (formerly Nippon Petrochemicals), 0 crystallinity for the temperature is above the melting point"
139,3,1,8200,111000,0,153,0.86,27.9,453.15,0.169435215946844,10.1021/ma060735,"HDPE by Japan Polyolefins (formerly Nippon Petrochemicals), 0 crystallinity for the temperature is above the melting point"
140,3,1,8200,111000,0,153,0.86,31.3,453.15,0.199359487590072,10.1021/ma060735,"HDPE by Japan Polyolefins (formerly Nippon Petrochemicals), 0 crystallinity for the temperature is above the melting point"
141,3,1,8200,111000,0,153,0.86,34.5,453.15,0.230769230769231,10.1021/ma060735,"HDPE by Japan Polyolefins (formerly Nippon Petrochemicals), 0 crystallinity for the temperature is above the melting point"
142,3,10,8200,111000,0,153,0.86,3.7,453.15,0.003686360466275,10.1021/ma060735,"HDPE by Japan Polyolefins (formerly Nippon Petrochemicals), 0 crystallinity for the temperature is above the melting point"
